,Company Name,Form Type,CIK,Date Filed,File Name,Date_filed
6202,AIRPLANES LTD,10-Q,1004539,2005-02-09,edgar/data/1004539/0000950103-05-000209.txt,2005-02-09
6897,ALBERTO CULVER CO,10-Q,3327,2005-02-04,edgar/data/3327/0001193125-05-019293.txt,2005-02-04
7298,ALEXION PHARMACEUTICALS INC,10-Q,899866,2005-03-08,edgar/data/899866/0001193125-05-044670.txt,2005-03-08
7395,ALFACELL CORP,10-Q,708717,2005-03-11,edgar/data/708717/0000930413-05-001791.txt,2005-03-11
7563,ALICO INC,10-Q,3545,2005-01-10,edgar/data/3545/0000003545-05-000011.txt,2005-01-10
7628,ALION SCIENCE & TECHNOLOGY CORP,10-Q,1166568,2005-02-15,edgar/data/1166568/0000950133-05-000589.txt,2005-02-15
7641,ALKERMES INC,10-Q,874663,2005-02-08,edgar/data/874663/0000950135-05-000505.txt,2005-02-08
7675,ALLBRITTON COMMUNICATIONS CO,10-Q,889156,2005-02-10,edgar/data/889156/0000889156-05-000005.txt,2005-02-10
8132,ALLIANCE GAMING CORP,10-Q,2491,2005-02-09,edgar/data/2491/0001104659-05-004934.txt,2005-02-09
8291,ALLIANCE SEMICONDUCTOR CORP /DE/,10-Q,913293,2005-02-03,edgar/data/913293/0000950134-05-001992.txt,2005-02-03
8600,ALLIANT TECHSYSTEMS INC,10-Q,866121,2005-02-10,edgar/data/866121/0001104659-05-005160.txt,2005-02-10
8774,ALLIED HEALTHCARE INTERNATIONAL INC,10-Q,890634,2005-02-11,edgar/data/890634/0000950136-05-000749.txt,2005-02-11
8791,ALLIED HEALTHCARE PRODUCTS INC,10-Q,874710,2005-02-10,edgar/data/874710/0000950137-05-001497.txt,2005-02-10
8803,ALLIED HOLDINGS INC,10-Q,909950,2005-01-07,edgar/data/909950/0000950144-05-000146.txt,2005-01-07
9185,ALLSTATES WORLDCARGO INC,10-Q,1072293,2005-02-14,edgar/data/1072293/0001260415-05-000012.txt,2005-02-14
9832,ALTIGEN COMMUNICATIONS INC,10-Q,1003607,2005-02-11,edgar/data/1003607/0001144204-05-004083.txt,2005-02-11
10268,AMBER RESOURCES CO OF COLORADO,10-Q,276750,2005-02-14,edgar/data/276750/0001263279-05-000053.txt,2005-02-14
10305,AMC ENTERTAINMENT INC,10-Q,722077,2005-02-22,edgar/data/722077/0001104659-05-007775.txt,2005-02-22
10364,AMCON DISTRIBUTING CO,10-Q,928465,2005-02-14,edgar/data/928465/0000928465-05-000022.txt,2005-02-14
10547,AMERCO /NV/,10-Q,4457,2005-02-09,edgar/data/4457/0000004457-05-000002.txt,2005-02-09
10778,AMERICAN ACHIEVEMENT CORP,10-Q,1168468,2005-01-11,edgar/data/1168468/0000950134-05-000533.txt,2005-01-11
11137,AMERICAN COLOR GRAPHICS INC,10-Q,856709,2005-02-14,edgar/data/856709/0000950144-05-001383.txt,2005-02-14
11178,AMERICAN CONSUMERS INC,10-Q,4811,2005-01-11,edgar/data/4811/0001015402-05-000110.txt,2005-01-11
11181,AMERICAN CRYSTAL SUGAR CO /MN/,10-Q,4828,2005-01-14,edgar/data/4828/0001104659-05-001411.txt,2005-01-14
11875,AMERICAN GREETINGS CORP,10-Q,5133,2005-01-07,edgar/data/5133/0000950152-05-000116.txt,2005-01-07
11916,AMERICAN HEALTHWAYS INC,10-Q,704415,2005-01-10,edgar/data/704415/0000704415-05-000006.txt,2005-01-10
11987,AMERICAN HOMESTAR CORP,10-Q,922812,2005-02-02,edgar/data/922812/0001015402-05-000436.txt,2005-02-02
